phase_group,sub_phase,district,province,floors,delay_category,labour_availability,material_supply,weather_severity,cumulative_delay,delay_risk,delay_days,cause_of_delay,corrective_action_taken,construction_status
Pre-Construction & Approvals,Architectural & structural design,Colombo,Western Province,1,Design & Technical,0.74,1,0.29,19,MEDIUM,45,High-rise neighbour blocked natural light requiring plan revision in Colombo,Plan revised to relocate windows and add skylights for natural light,Completed with revised design
Foundations,Foundation work,Kilinochchi,Northern Province,2,Environmental & Site,0.8,1,0.74,8,MEDIUM,22,Northeast monsoon flooding delayed foundation work in Kilinochchi,Improved site drainage and dewatering system installed before restart,Completed after weather delay
Site Preparation,Site clearing & hoarding,Batticaloa,Eastern Province,2,Owner / Social / Behavioural,0.76,1,0.39,5,LOW,10,Post-war trauma and displacement affecting Batticaloa owner decision making,Community counsellor and housing officer provided joint support to owner,Completed with community assistance
Envelope & Waterproofing,Roof waterproofing,Hambantota,Southern Province,2,Material Supply & Quality,0.7,0,0.25,18,MEDIUM,25,Roof tiles unavailable due to supply chain disruption in Hambantota area,Alternative tile supplier identified in Colombo with delivery arranged,Completed after supply arrangement
Structure,Floor slabs,Kalutara,Western Province,1,Financial & Funding,0.61,1,0.8,43,HIGH,85,Construction cost 35 percent above estimate in Kalutara coastal project,Bank top-up loan obtained and project scope formally reduced by owner,Completed with reduced scope
Envelope & Waterproofing,Roof waterproofing,Trincomalee,Eastern Province,1,Environmental & Site,0.75,1,0.86,0,LOW,9,Northeast monsoon strong winds damaged temporary roofing framework in Trincomalee,Reinforced structure and rescheduled waterproofing to weather window,Completed within buffer period
Envelope & Waterproofing,External rendering,Trincomalee,Eastern Province,1,Environmental & Site,0.62,1,0.86,13,MEDIUM,38,Coastal erosion threatened site boundary stability near Trincomalee beach,Retaining wall and rock armouring installed along coastal boundary,Completed with coastal protection
Pre-Construction & Approvals,Authority approvals,Mullaitivu,Northern Province,1,Land & Legal,0.84,1,0.32,18,HIGH,622,House site under military High Security Zone restriction in Mullaitivu,HSZ gazette notification obtained after government ministry application,Suspended awaiting HSZ release
Structure,Columns & beams,Kilinochchi,Northern Province,1,Material Supply & Quality,0.72,0,0.3,20,MEDIUM,44,Counterfeit cement causing structural failure and rework in Kilinochchi,Reputable cement brand exclusively used and failed sections rebuilt,Partially completed - roof level reached
Foundations,Foundation work,Galle,Southern Province,2,Labour,0.31,1,0.32,2,LOW,8,Primary mason illness during critical foundation phase in Galle project,Temporary replacement mason hired from Matara district urgently,Completed with minor delay
Site Preparation,Site clearing & hoarding,Jaffna,Northern Province,1,Environmental & Site,0.56,1,0.78,6,LOW,12,Wild elephant entry damaged site hoarding and equipment in Jaffna rural area,Electric fence erected around construction perimeter before restart,Completed with additional cost
Pre-Construction & Approvals,Site selection & surveying,Ampara,Eastern Province,1,Owner / Social / Behavioural,0.79,1,0.35,10,MEDIUM,28,Family dispute among siblings over Ampara house ownership rights,Legal mediation at DS office resolved sibling ownership dispute,Demolished and restarted
Envelope & Waterproofing,Roof waterproofing,Vavuniya,Northern Province,1,Design & Technical,0.85,1,0.68,10,MEDIUM,18,Roof slope incorrectly designed causing rainwater leakage in Vavuniya house,Reroofing with corrected angle completed by specialist contractor,Partially completed - rectification required
Structure,Floor slabs,Gampaha,Western Province,1,Design & Technical,0.59,1,0.3,12,MEDIUM,35,Concrete mix ratio incorrect causing weak floor slab in Gampaha house,Independent structural engineer tested slab and supervised remedial work,Completed after quality intervention
Foundations,Foundation work,Hambantota,Southern Province,1,Environmental & Site,0.87,1,0.72,19,MEDIUM,14,Drought conditions made excavation difficult in Hambantota dry zone area,Water trucking for soil compaction and stabilisation work arranged,Completed after site preparation
Finishes,Tiling,Gampaha,Western Province,1,Material Supply & Quality,0.58,0,0.25,19,MEDIUM,20,Roof sheet supplier delayed delivery causing Gampaha work stoppage,Alternative Colombo supplier identified and expedited priority delivery,Completed after supply arrangement
MEP Rough-Ins,Electrical conduit work,Kilinochchi,Northern Province,1,Material Supply & Quality,0.71,0,0.32,7,MEDIUM,15,Steel and conduit delivery delayed due to transport disruption in Kilinochchi,Alternative transport route via Vavuniya town arranged for delivery,Completed after supply delay
Structure,Floor slabs,Batticaloa,Eastern Province,1,Financial & Funding,0.56,1,0.39,17,HIGH,85,IFRC housing grant delayed due to field verification backlog in Batticaloa,Community mobiliser assigned to expedite IFRC field verification process,Ongoing - superstructure stage
MEP Rough-Ins,Plumbing & drainage,Mullaitivu,Northern Province,1,Material Supply & Quality,0.75,0,0.72,20,MEDIUM,40,Building materials delayed reaching remote Mullaitivu coastal areas,Advance bulk procurement and storage at accessible mainland depot,Completed after supply improvement
Foundations,Ground floor slab,Jaffna,Northern Province,1,Material Supply & Quality,0.68,0,0.34,31,HIGH,55,Cement unavailability in Jaffna during 2022 foreign exchange crisis,Bulk cement procured from Colombo supplier at higher transport cost,Completed with cost overrun
Pre-Construction & Approvals,Site selection & surveying,Ampara,Eastern Province,1,Owner / Social / Behavioural,0.86,1,0.81,17,MEDIUM,44,Post-tsunami Ampara owner relocated temporarily delaying construction start,Community mobiliser assigned by UN-Habitat field office to assist,Under NHDA review
Finishes,Tiling,Batticaloa,Eastern Province,1,Design & Technical,0.65,1,0.41,17,MEDIUM,25,Septic tank conflicting with neighbour well in Batticaloa residential plot,Septic tank completely redesigned and relocated to compliant position,Completed after design change
Foundations,Foundation work,Batticaloa,Eastern Province,1,Design & Technical,0.87,1,0.88,25,HIGH,52,Wrong floor level set causing flooding inside completed house in Batticaloa,Floor screed raised and proper perimeter drainage channel installed,Ongoing - wall construction stage
Foundations,Foundation work,Colombo,Western Province,1,Environmental & Site,0.71,1,0.82,2,LOW,8,Tree root damage to Colombo foundation during excavation in garden area,Roots professionally cleared by arborist and trench properly reinstated,Completed after site clearance
Structure,Floor slabs,Gampaha,Western Province,1,Financial & Funding,0.68,1,0.3,34,HIGH,90,Gampaha owner construction cost exceeded initial budget by 25 percent,Additional personal loan obtained and project scope formally reduced,Completed with scope reduction
Structure,Columns & beams,Batticaloa,Eastern Province,1,Material Supply & Quality,0.84,0,0.42,29,HIGH,60,Counterfeit cement purchased from informal market in Batticaloa town,Structural inspection conducted and all failed sections completely rebuilt,Completed after quality intervention
Structure,Columns & beams,Jaffna,Northern Province,1,Material Supply & Quality,0.81,0,0.35,39,HIGH,72,Counterfeit low-grade cement caused structural failure in Jaffna requiring rework,Independent QS engaged to inspect and rebuild affected structural sections,Completed after significant rework
Finishes,Tiling,Jaffna,Northern Province,1,Material Supply & Quality,0.62,0,0.34,7,MEDIUM,40,Delays in tile delivery to Jaffna island locations like Delft and Kayts,Advance bulk ordering and mainland depot storage arranged for island sites,Completed after supply chain improvement
Pre-Construction & Approvals,Authority approvals,Vavuniya,Northern Province,2,Owner / Social / Behavioural,0.73,1,0.3,19,HIGH,60,Family dispute over Vavuniya land ownership delayed construction commencement,Legal mediation at DS office resolved ownership dispute,Completed after resolution
Pre-Construction & Approvals,BOQ preparation & tendering,Colombo,Western Province,1,Owner / Social / Behavioural,0.81,1,0.29,14,MEDIUM,35,Colombo owner abroad delayed timely decisions on design changes,Power of attorney given to local architect to manage project decisions,Completed with delegated authority
Envelope & Waterproofing,Roof waterproofing,Galle,Southern Province,2,Design & Technical,0.69,1,0.86,0,LOW,12,Roof drainage inadequate causing water damage to external walls in Galle,Roof eave extended and proper box guttering system installed,Completed after roof remedial work
External Works & Handover,Snagging & rectification,Jaffna,Northern Province,1,Design & Technical,0.83,1,0.34,7,MEDIUM,28,Owner changed room layout after walls partially built requiring snagging rectification,Structural engineer consulted and walls rebuilt to revised approved plan,Completed with cost overrun
Structure,Columns & beams,Trincomalee,Eastern Province,1,Material Supply & Quality,0.6,0,0.37,28,HIGH,55,Cement quality issue discovered during structural inspection in Trincomalee,Failed structural sections demolished and rebuilt with verified premium cement,Completed after quality rework
Pre-Construction & Approvals,BOQ preparation & tendering,Colombo,Western Province,1,Financial & Funding,0.81,1,0.28,15,HIGH,65,Bank loan top-up rejected for Colombo owner due to high existing debt ratio,Alternative private lender engaged at higher but manageable interest rate,Completed with higher financing cost
Foundations,Foundation work,Matara,Southern Province,1,Material Supply & Quality,0.86,0,0.78,18,MEDIUM,20,River sand supply disrupted by seasonal flooding of Nilwala river in Matara,Quarry dust substituted with structural engineer written approval,Completed with cost overrun
Finishes,Carpentry & joinery,Colombo,Western Province,2,Labour,0.21,1,0.29,2,LOW,10,Shortage of skilled finishing carpenters for joinery work in Colombo,Experienced carpenters engaged from Gampaha district on contract,Completed
Envelope & Waterproofing,Roof waterproofing,Gampaha,Western Province,2,Environmental & Site,0.89,1,0.75,3,LOW,12,Heavy rainfall during southwest monsoon delayed roof waterproofing in Gampaha,Temporary weather protection installed and waterproofing completed safely,Completed
Structure,Columns & beams,Trincomalee,Eastern Province,1,Labour,0.25,1,0.39,12,MEDIUM,16,Skilled construction workers unavailable in Trincomalee due to outmigration,Workers brought from Colombo with on-site accommodation provided,Completed after delay
Pre-Construction & Approvals,Site selection & surveying,Vavuniya,Northern Province,1,Land & Legal,0.89,1,0.27,44,HIGH,126,Boundary stone missing from Vavuniya plot causing legal dispute with neighbour,Survey conducted and formal agreement signed with neighbouring owner,Completed after legal resolution
Structure,Roof slab,Ampara,Eastern Province,1,Material Supply & Quality,0.84,0,0.37,58,HIGH,95,Material price spike during 2022 crisis forced Ampara owner to pause work,Phased purchasing strategy adopted to manage escalating material costs,Ongoing - roof level reached
Foundations,Foundation work,Kilinochchi,Northern Province,1,Labour,0.42,1,0.3,0,LOW,10,Primary mason fell ill causing foundation work stoppage in Kilinochchi,Temporary mason hired from Jaffna to maintain construction progress,Completed after personnel change
Foundations,Foundation work,Kalutara,Western Province,2,Environmental & Site,0.89,1,0.83,5,MEDIUM,28,Southwest monsoon coastal flooding damaged ground floor walls in Kalutara,Flood damage fully repaired and comprehensive waterproofing membrane applied,Completed after remedial work
MEP Rough-Ins,Plumbing & drainage,Vavuniya,Northern Province,2,Material Supply & Quality,0.75,0,0.28,10,MEDIUM,28,River sand shortage due to extraction ban in Vavuniya district,Quarry dust approved as substitute material by structural engineer,Completed with alternative material
Pre-Construction & Approvals,Architectural & structural design,Kilinochchi,Northern Province,1,Owner / Social / Behavioural,0.62,1,0.3,18,MEDIUM,30,Diaspora owner changed house plan mid-construction in Kilinochchi,Revised plan approved by structural engineer and construction continued,Completed with revised plan
Structure,Roof slab,Batticaloa,Eastern Province,1,Financial & Funding,0.63,1,0.93,44,HIGH,95,Tsunami recovery grant insufficient for current material prices in Batticaloa,Supplementary funding requested from Batticaloa district secretariat,Ongoing - plastering stage
Structure,Roof slab,Mannar,Northern Province,1,Material Supply & Quality,0.7,0,0.29,38,HIGH,174,Cement unavailability in Mannar during 2022 foreign exchange crisis,Alternative Colombo supplier found and bulk purchase arranged,Completed with cost overrun
Structure,Roof slab,Vavuniya,Northern Province,1,Labour,0.34,1,0.28,15,MEDIUM,22,Workers migrated to Middle East leaving Vavuniya project understaffed,New crew recruited locally with competitive wages and retention bonus,Completed after staffing change
Pre-Construction & Approvals,Site selection & surveying,Colombo,Western Province,1,Land & Legal,0.72,1,0.3,42,HIGH,75,Urban land boundary dispute with neighbour in Colombo suburb,Licensed surveyor and court mediation conducted to resolve dispute,Completed after legal resolution
Foundations,Foundation work,Kalutara,Western Province,2,Material Supply & Quality,0.79,0,0.82,13,MEDIUM,22,River sand restricted in Kalutara due to strict environmental regulations,Manufactured sand used as approved alternative with engineer certification,Completed with alternative material
Foundations,Foundation work,Galle,Southern Province,1,Environmental & Site,0.79,1,0.84,10,MEDIUM,35,Southwest monsoon flooding of low-lying ground floor during Galle construction,Floor level raised and comprehensive drainage system installed,Completed with design modification
Structure,Roof slab,Mullaitivu,Northern Province,1,Labour,0.35,1,0.36,3,LOW,12,Mason migrated abroad leaving roof slab work incomplete in Mullaitivu,New mason recruited and briefed on remaining scope of roof work,Completed after personnel change
Foundations,Foundation work,Colombo,Western Province,1,Environmental & Site,0.72,1,0.84,20,MEDIUM,20,Southwest monsoon urban flooding waterlogged foundation excavation in Colombo,Dewatering pumps installed and improved drainage channel constructed,Completed with cost overrun
Foundations,Foundation work,Gampaha,Western Province,1,Environmental & Site,0.83,1,0.79,11,MEDIUM,40,Flooding from nearby canal inundated Gampaha ground floor during monsoon,Retaining wall along canal boundary and permanent pumps installed,Completed with flood protection measures
Pre-Construction & Approvals,Soil investigation,Jaffna,Northern Province,2,Design & Technical,0.59,1,0.82,7,MEDIUM,21,Soil investigation revealed unstable coastal sandy soil in Jaffna peninsula site,Geotechnical consultant engaged and pile foundation recommended,Completed with revised foundation design
Structure,Columns & beams,Vavuniya,Northern Province,1,Material Supply & Quality,0.85,0,0.26,20,MEDIUM,40,Counterfeit cement causing structural failure and rework in Vavuniya,QS engaged for full structural inspection and rework of failed sections,Legal dispute ongoing
Structure,Columns & beams,Hambantota,Southern Province,1,Labour,0.24,1,0.25,13,MEDIUM,18,Skilled masons unavailable in Hambantota due to major port project competition,Workers sourced from Matara district at higher competitive rate,Completed after sourcing delay
Structure,Floor slabs,Galle,Southern Province,1,Financial & Funding,0.87,1,0.33,49,HIGH,120,Construction cost exceeded initial estimate by 40 percent in Galle project,Scope reduced and owner obtained approved top-up loan from bank,Completed with reduced specification scope
Foundations,Soil investigation,Hambantota,Southern Province,1,Design & Technical,0.81,1,0.24,12,MEDIUM,40,Foundation design did not account for Hambantota limestone rock bedrock layer,Rock breaker hired and foundation completely modified for rock conditions,Completed after design modification
Envelope & Waterproofing,Roof waterproofing,Ampara,Eastern Province,1,Environmental & Site,0.84,1,0.78,11,MEDIUM,35,Termite infestation destroying timber roof framework in Ampara house,Termite treatment and full timber roof replacement carried out,Completed after significant delay
Site Preparation,Site clearing & hoarding,Ampara,Eastern Province,1,Owner / Social / Behavioural,0.78,1,0.33,14,MEDIUM,44,Religious auspicious date delay for Muslim household in Ampara Oluvil,Construction recommenced immediately after auspicious date ceremony,Completed on revised schedule
Pre-Construction & Approvals,Architectural & structural design,Ampara,Eastern Province,1,Owner / Social / Behavioural,0.86,1,0.36,18,MEDIUM,18,Ampara owner changed room layout mid-construction after wall completion,Structural engineer consulted and plan formally revised and approved,Completed with revised design
Site Preparation,Site clearing & hoarding,Batticaloa,Eastern Province,1,Owner / Social / Behavioural,0.8,1,0.39,6,MEDIUM,22,Religious auspicious date delay for Tamil Hindu household in Batticaloa,Construction recommenced after auspicious date and pooja ceremony,Completed on revised schedule
Pre-Construction & Approvals,Site selection & surveying,Trincomalee,Eastern Province,1,Land & Legal,0.64,1,0.4,18,HIGH,75,Inherited land with disputed title among siblings in Trincomalee district,Land Registry mediation successfully resolved sibling title dispute,Completed after legal resolution
Structure,Roof slab,Galle,Southern Province,1,Material Supply & Quality,0.74,0,0.28,29,HIGH,65,Cement price spike during 2022 economic crisis halted Galle construction,Owner obtained additional bank loan and construction recommenced,Completed with cost overrun
Structure,Columns & beams,Kalutara,Western Province,1,Labour,0.25,1,0.31,20,MEDIUM,20,Construction workers absorbed by large hotel construction project near Kalutara,Premium wages offered to retain workers on residential site,Completed with higher labour cost
Structure,Columns & beams,Mannar,Northern Province,1,Labour,0.27,1,0.26,13,MEDIUM,16,Skilled masons unavailable in Mannar due to sparse post-war population,Workers brought from Vavuniya with transport and accommodation provided,Completed after delay
MEP Rough-Ins,Electrical conduit work,Trincomalee,Eastern Province,1,Labour,0.23,1,0.36,1,LOW,7,Qualified electrician not available locally for conduit work in Trincomalee,Electrician brought from Colombo on short-term contract basis,Completed
Foundations,Foundation work,Ampara,Eastern Province,1,Design & Technical,0.65,1,0.81,54,HIGH,52,Wrong foundation level set causing potential flooding of Ampara house,Foundation re-laid to correct level per structural engineer guidelines,Ongoing - wall construction stage
Structure,Floor slabs,Jaffna,Northern Province,1,Financial & Funding,0.61,1,0.36,25,HIGH,180,Diaspora owner lost job abroad causing construction fund shortage in Jaffna,Family contribution pooled and phased construction approach adopted,Stalled awaiting further funding
Foundations,Ground floor slab,Batticaloa,Eastern Province,1,Environmental & Site,0.85,1,0.89,5,MEDIUM,30,Unexpected high groundwater table during excavation near Batticaloa lagoon,Dewatering system and modified ground floor slab foundation type used,Completed with design change
Foundations,Foundation work,Gampaha,Western Province,1,Design & Technical,0.71,1,0.25,14,MEDIUM,28,Staircase design structurally unsafe requiring complete redesign in Gampaha,Structural engineer fully revised staircase design and reinstated it,Completed after design change
Finishes,Tiling,Ampara,Eastern Province,1,Design & Technical,0.87,1,0.36,14,MEDIUM,25,Septic tank location conflicting with neighbour well in Ampara plot,Septic tank redesigned and relocated with engineer certification,Under NHDA review
